Date,Dhaka AQI,pressure_level,latitude,longitude,co,aermr04,no2,no,go3,pan,c3h8,q,so2,t,r,u,v,pm1_combined,pm2p5_combined,pm10_combined
1/1/2022,147,1000,23.75,90.32,2.57E-07,8.82E-11,8.40E-09,3.47E-12,9.36E-08,2.80E-09,1.44E-09,0.008943621,5.39E-09,294.31494,57.22171,2.8100634,-3.137145,4.48E-08,5.33E-08,7.70E-08
2/1/2022,151,1000,23.75,90.32,4.05E-07,2.82E-11,4.76E-08,3.27E-10,6.04E-08,2.17E-09,3.31E-09,0.011833373,1.40E-08,294.14282,77.06175,0.95957947,3.6605444,4.08E-08,5.18E-08,8.30E-08
3/1/2022,86,1000,23.75,90.32,2.66E-07,1.64E-10,1.44E-08,1.20E-10,9.91E-08,1.13E-09,1.41E-09,0.008253589,7.23E-09,299.72095,37.838867,1.5411444,-3.289075,3.96E-08,4.80E-08,6.93E-08
4/1/2022,86,1000,23.75,90.32,2.94E-07,8.56E-11,4.17E-08,2.14E-09,3.69E-08,5.09E-10,1.87E-09,0.015888747,4.46E-09,303.6377,60.003586,-0.25273824,4.7985144,2.36E-08,3.03E-08,4.67E-08
5/1/2022,124,1000,23.75,90.32,4.21E-07,4.13E-11,5.79E-08,2.77E-09,5.94E-08,2.81E-09,3.43E-09,0.017222375,1.19E-08,301.2268,73.43347,-1.4248047,0.96792275,2.95E-08,3.60E-08,5.46E-08
6/1/2022,107,1000,23.75,90.32,4.25E-07,1.31E-10,6.36E-08,1.42E-08,2.35E-08,9.09E-10,3.80E-09,0.020750005,5.23E-09,302.9607,79.65939,-0.82810473,1.4230433,2.70E-08,3.38E-08,5.06E-08
7/1/2022,158,1000,23.75,90.32,2.16E-07,6.03E-12,3.02E-08,3.94E-09,3.05E-08,5.37E-10,1.69E-09,0.020049572,3.54E-09,300.57056,86.8434,-0.51837647,4.1240644,8.16E-09,9.92E-09,1.44E-08
8/1/2022,130,1000,23.75,90.32,3.06E-07,1.99E-11,4.74E-08,1.83E-09,6.50E-08,1.82E-09,2.45E-09,0.019954957,7.92E-09,302.60986,76.72685,-0.8341249,0.6706905,2.98E-08,3.53E-08,5.10E-08
9/1/2022,128,1000,23.75,90.32,3.49E-07,2.81E-12,5.44E-08,2.15E-08,1.20E-08,3.86E-10,3.45E-09,0.02028137,6.47E-09,303.2063,75.05632,0.24519843,1.7911406,2.17E-08,2.59E-08,3.79E-08
10/1/2022,131,1000,23.75,90.32,1.07E-06,3.63E-12,1.04E-07,1.18E-07,9.90E-09,3.92E-10,1.11E-08,0.020107135,1.58E-08,305.79956,67.32303,-0.16595846,-0.35984904,5.09E-08,5.95E-08,8.51E-08
11/1/2022,107,1000,23.75,90.32,3.74E-07,6.26E-12,3.52E-08,4.00E-11,7.44E-08,1.59E-09,2.75E-09,0.014342226,1.51E-08,301.47827,59.395798,2.5189524,-2.517558,4.21E-08,4.92E-08,7.04E-08
12/1/2022,150,1000,23.75,90.32,3.96E-07,6.13E-12,2.76E-08,2.36E-11,8.65E-08,1.94E-09,2.96E-09,0.009463422,1.40E-08,298.55786,46.750214,3.309432,-2.554964,3.52E-08,4.12E-08,5.89E-08
1/13/2022,165,1000,23.75,90.32,4.59E-07,2.18E-11,1.58E-08,4.16E-12,9.33E-08,3.36E-09,2.99E-09,0.010458026,1.53E-08,293.99,67.71385,2.531067,-0.44735867,5.60E-08,6.56E-08,9.39E-08
1/14/2022,167,1000,23.75,90.32,3.35E-07,2.57E-11,1.51E-08,4.35E-12,7.22E-08,2.45E-09,2.19E-09,0.009217814,1.08E-08,292.5354,66.08118,0.2925291,-2.7796001,4.58E-08,5.37E-08,7.69E-08
1/15/2022,183,1000,23.75,90.32,3.26E-07,3.63E-11,1.14E-08,3.93E-12,8.81E-08,3.45E-09,2.08E-09,0.008753117,6.88E-09,294.0144,57.3665,1.7628956,-1.8499136,5.12E-08,6.00E-08,8.59E-08
1/16/2022,230,1000,23.75,90.32,3.20E-07,6.36E-11,1.35E-08,1.30E-11,7.77E-08,2.20E-09,1.94E-09,0.00862607,4.26E-09,293.53076,58.355286,2.6918573,-3.7429361,4.59E-08,5.39E-08,7.74E-08
1/17/2022,203,1000,23.75,90.32,2.95E-07,4.47E-11,9.50E-09,3.35E-12,1.00E-07,3.37E-09,1.65E-09,0.009091996,1.15E-08,295.09814,55.840073,2.8164043,-2.817522,5.31E-08,6.23E-08,8.92E-08
1/18/2022,177,1000,23.75,90.32,3.37E-07,5.25E-11,1.38E-08,2.41E-12,1.03E-07,3.78E-09,2.09E-09,0.009333286,1.22E-08,295.08887,56.592926,2.6342125,-1.6310539,6.68E-08,7.83E-08,1.12E-07
1/19/2022,159,1000,23.75,90.32,3.46E-07,5.16E-11,1.60E-08,3.23E-12,9.70E-08,3.92E-09,2.38E-09,0.008958582,1.39E-08,294.66748,55.358963,2.3359184,-0.8607665,7.44E-08,8.72E-08,1.25E-07
1/20/2022,160,1000,23.75,90.32,3.90E-07,5.38E-11,2.91E-08,4.50E-11,7.78E-08,3.82E-09,2.98E-09,0.008595519,7.49E-09,293.4663,58.58336,2.6536846,-0.8956658,6.84E-08,8.02E-08,1.15E-07
1/21/2022,166,1000,23.75,90.32,3.30E-07,7.14E-11,1.46E-08,1.50E-12,1.14E-07,4.16E-09,2.42E-09,0.007795926,1.33E-08,294.437,50.59131,0.34301776,-0.70865715,8.70E-08,1.02E-07,1.48E-07
1/22/2022,163,1000,23.75,90.32,5.12E-07,8.05E-11,5.67E-08,5.40E-10,4.57E-08,4.59E-09,4.75E-09,0.009309702,3.06E-08,292.73877,65.71065,-1.8150759,-4.0547037,8.74E-08,1.03E-07,1.48E-07
1/23/2022,129,1000,23.75,90.32,5.41E-07,1.02E-10,5.87E-08,1.69E-09,2.02E-08,3.40E-09,5.19E-09,0.009239484,2.19E-08,291.4275,71.37363,-1.4695435,-3.2760572,8.45E-08,9.99E-08,1.45E-07
1/24/2022,71,1000,23.75,90.32,3.97E-07,9.76E-11,3.20E-08,3.18E-11,5.45E-08,2.94E-09,3.44E-09,0.010100089,1.86E-08,293.2859,68.981064,-1.6311245,-0.90911746,7.92E-08,9.45E-08,1.38E-07
1/25/2022,98,1000,23.75,90.32,3.26E-07,1.06E-10,1.67E-08,1.01E-11,9.97E-08,4.93E-09,2.38E-09,0.010138527,9.17E-09,294.64526,64.02609,0.44286442,-0.41026217,6.79E-08,8.09E-08,1.18E-07
1/26/2022,153,1000,23.75,90.32,3.99E-07,1.43E-10,3.32E-08,9.77E-14,7.72E-08,4.83E-09,3.25E-09,0.01109124,7.14E-09,292.7339,77.06572,2.427083,0.7922008,6.24E-08,7.49E-08,1.09E-07
1/27/2022,157,1000,23.75,90.32,4.11E-07,2.09E-10,1.69E-08,3.22E-11,8.62E-08,3.41E-09,2.48E-09,0.007875927,6.84E-09,292.8462,55.33188,1.9493961,-2.6309385,7.02E-08,8.41E-08,1.21E-07
1/28/2022,158,1000,23.75,90.32,4.08E-07,1.16E-10,1.08E-08,2.02E-11,1.05E-07,4.69E-09,2.23E-09,0.006215677,1.31E-08,290.79126,49.621216,2.7520208,-3.1016169,6.83E-08,8.09E-08,1.16E-07
1/29/2022,178,1000,23.75,90.32,4.34E-07,1.45E-10,1.68E-08,4.45E-11,9.14E-08,4.59E-09,2.70E-09,0.006845459,6.49E-09,291.3452,53.0119,3.3501997,-2.4029102,7.58E-08,8.99E-08,1.28E-07
1/30/2022,163,1000,23.75,90.32,5.44E-07,1.36E-10,1.62E-08,2.42E-11,1.16E-07,7.10E-09,3.40E-09,0.007140208,1.60E-08,292.33984,52.241898,2.149065,-1.1655455,9.31E-08,1.10E-07,1.59E-07
1/31/2022,148,1000,23.75,90.32,4.77E-07,2.21E-10,1.83E-08,2.63E-11,1.22E-07,5.49E-09,3.06E-09,0.007231835,2.08E-08,294.40088,46.275894,-0.23939979,-0.550286,1.07E-07,1.27E-07,1.84E-07
1/2/2022,316,1000,23.75,90.32,3.03E-07,7.00E-11,1.21E-08,4.15E-12,8.87E-08,3.21E-09,1.85E-09,0.00979241,6.50E-09,293.8733,63.706085,2.4174795,-3.300706,5.53E-08,6.53E-08,9.41E-08
2/2/2022,328,1000,23.75,90.32,4.32E-07,1.83E-10,1.37E-08,1.96E-11,1.46E-07,6.28E-09,2.80E-09,0.008252259,2.18E-08,296.12305,46.707962,-2.559595,-0.71364534,8.81E-08,1.05E-07,1.56E-07
3/2/2022,310,1000,23.75,90.32,3.01E-07,1.21E-10,1.54E-08,1.26E-10,1.10E-07,1.43E-09,1.56E-09,0.008591943,1.02E-08,299.8474,40.486237,2.6148634,-2.8667412,4.44E-08,5.31E-08,7.65E-08
4/2/2022,280,1000,23.75,90.32,2.93E-07,1.66E-10,3.89E-08,1.35E-09,4.43E-08,7.65E-10,1.83E-09,0.016158864,3.93E-09,303.1306,61.89499,-3.2388544,2.052288,3.57E-08,4.59E-08,7.01E-08
5/2/2022,163,1000,23.75,90.32,4.36E-07,6.16E-11,6.53E-08,6.96E-09,3.61E-08,1.76E-09,3.34E-09,0.017155625,7.04E-09,302.46533,68.25322,-1.9389839,0.55188996,2.68E-08,3.30E-08,5.00E-08
6/2/2022,237,1000,23.75,90.32,3.55E-07,1.31E-10,5.37E-08,3.22E-09,4.52E-08,1.56E-09,2.88E-09,0.020235132,7.17E-09,301.6255,82.981155,-0.5305277,2.0799818,2.31E-08,2.89E-08,4.22E-08
7/2/2022,195,1000,23.75,90.32,2.44E-07,4.46E-12,3.84E-08,7.80E-09,2.39E-08,5.71E-10,2.14E-09,0.019737508,3.70E-09,303.0227,75.52835,-1.3652754,2.540864,8.86E-09,1.06E-08,1.52E-08
8/2/2022,322,1000,23.75,90.32,3.63E-07,2.62E-11,6.34E-08,6.70E-09,3.37E-08,1.35E-09,3.38E-09,0.02113735,6.81E-09,301.7124,85.48357,0.22118396,2.9140406,3.27E-08,3.89E-08,5.66E-08
9/2/2022,336,1000,23.75,90.32,3.09E-07,2.73E-12,5.42E-08,1.32E-08,1.64E-08,4.40E-10,2.99E-09,0.020493653,7.54E-09,302.89575,79.19353,1.5594969,1.4869347,2.09E-08,2.47E-08,3.62E-08
10/2/2022,410,1000,23.75,90.32,7.47E-07,2.76E-12,9.79E-08,2.81E-08,1.19E-08,2.68E-09,6.93E-09,0.020501051,9.53E-09,300.22217,89.39194,-0.46644711,0.4969511,4.90E-08,5.73E-08,8.19E-08
11/2/2022,324,1000,23.75,90.32,5.09E-07,2.16E-12,4.38E-08,7.38E-11,8.56E-08,2.74E-09,3.84E-09,0.01384259,2.44E-08,300.33838,61.08557,2.6394205,-1.2156382,4.69E-08,5.48E-08,7.83E-08
12/2/2022,216,1000,23.75,90.32,3.25E-07,2.84E-11,2.76E-08,1.93E-11,7.35E-08,2.05E-09,2.63E-09,0.009692252,1.26E-08,297.7588,50.04921,2.684991,-2.8696318,3.55E-08,4.18E-08,6.00E-08
2/13/2022,282,1000,23.75,90.32,3.82E-07,1.58E-10,2.90E-08,2.58E-10,8.43E-08,2.83E-09,2.71E-09,0.00788644,5.17E-09,295.6836,46.426224,2.173091,-3.5881681,5.38E-08,6.44E-08,9.18E-08
2/14/2022,309,1000,23.75,90.32,4.67E-07,1.25E-10,3.65E-08,3.59E-10,8.77E-08,3.01E-09,3.23E-09,0.006988894,1.89E-08,296.39233,39.47261,2.8194132,-1.2462292,6.23E-08,7.40E-08,1.06E-07
2/15/2022,335,1000,23.75,90.32,4.61E-07,9.29E-11,4.20E-08,4.96E-10,7.78E-08,3.08E-09,3.39E-09,0.007427108,2.01E-08,296.49902,42.37726,1.7665768,-1.690053,5.62E-08,6.65E-08,9.60E-08
2/16/2022,328,1000,23.75,90.32,4.37E-07,1.02E-10,4.10E-08,5.58E-10,8.24E-08,3.22E-09,3.33E-09,0.007240497,6.86E-09,296.42334,41.576508,2.470477,-0.5273411,6.30E-08,7.46E-08,1.07E-07
2/17/2022,335,1000,23.75,90.32,3.77E-07,8.74E-11,2.38E-08,1.50E-10,1.01E-07,2.58E-09,2.55E-09,0.006704018,8.02E-09,297.3015,36.566833,2.0706291,-1.5304661,5.62E-08,6.65E-08,9.55E-08
2/18/2022,304,1000,23.75,90.32,3.01E-07,9.39E-11,2.29E-08,2.24E-10,8.66E-08,1.58E-09,1.99E-09,0.005667754,9.06E-09,296.93848,31.485275,2.72651,-2.6628199,4.68E-08,5.54E-08,7.93E-08
2/19/2022,316,1000,23.75,90.32,2.96E-07,1.19E-10,2.59E-08,2.69E-10,8.86E-08,1.90E-09,2.00E-09,0.006182313,9.31E-09,296.69287,34.45366,3.570694,-1.1875696,4.23E-08,5.07E-08,7.31E-08
2/20/2022,222,1000,23.75,90.32,5.59E-07,5.93E-11,7.32E-08,4.67E-09,4.01E-08,3.08E-09,5.36E-09,0.009677421,1.71E-08,293.6936,67.00165,1.861906,-0.738663,6.13E-08,7.23E-08,1.04E-07
2/21/2022,213,1000,23.75,90.32,3.62E-07,1.03E-10,3.41E-08,4.53E-10,7.56E-08,2.04E-09,2.61E-09,0.006984662,1.20E-08,296.333,40.469315,2.8303404,-3.1529531,4.83E-08,5.76E-08,8.35E-08
